population_size	beta	factor_effect_age_mature_immunity	immune_effect_on_progression_to_clinical	p_treatment	total_time
100000	0.1	5	0.3	0	4735
100000	0.1	5	0.4	0	4735
100000	0.1	5	0.5	0	4735
100000	0.15	0.1	0.1	0	4735
100000	0.15	0.1	0.2	0	4735
100000	0.15	0.1	0.3	0	4735
100000	0.15	0.1	0.4	0	4735
100000	0.15	0.1	0.5	0	4735
100000	0.15	0.2	0.1	0	4735
100000	0.15	0.2	0.2	0	4735
100000	0.15	0.2	0.3	0	4735
100000	0.15	0.2	0.4	0	4735
100000	0.15	0.2	0.5	0	4735
100000	0.15	0.3	0.1	0	4735
100000	0.15	0.3	0.2	0	4735
100000	0.15	0.3	0.3	0	4735
100000	0.15	0.3	0.4	0	4735
100000	0.15	0.3	0.5	0	4735
100000	0.15	0.4	0.1	0	4735
100000	0.15	0.4	0.2	0	4735
100000	0.15	0.4	0.3	0	4735
100000	0.15	0.4	0.4	0	4735
100000	0.15	0.4	0.5	0	4735
100000	0.15	0.5	0.1	0	4735
100000	0.15	0.5	0.2	0	4735
100000	0.15	0.5	0.3	0	4735
100000	0.15	0.5	0.4	0	4735
100000	0.15	0.5	0.5	0	4735
100000	0.15	1	0.1	0	4735
100000	0.15	1	0.2	0	4735
100000	0.15	1	0.3	0	4735
100000	0.15	1	0.4	0	4735
100000	0.15	1	0.5	0	4735
100000	0.15	2	0.1	0	4735
100000	0.15	2	0.2	0	4735
100000	0.15	2	0.3	0	4735
100000	0.15	2	0.4	0	4735
100000	0.15	2	0.5	0	4735
100000	0.15	3	0.1	0	4735
100000	0.15	3	0.2	0	4735
100000	0.15	3	0.3	0	4735
100000	0.15	3	0.4	0	4735
100000	0.15	3	0.5	0	4735
100000	0.15	4	0.1	0	4735
100000	0.15	4	0.2	0	4735
100000	0.15	4	0.3	0	4735
100000	0.15	4	0.4	0	4735
100000	0.15	4	0.5	0	4735
100000	0.15	5	0.1	0	4735
100000	0.15	5	0.2	0	4735
100000	0.15	5	0.3	0	4735
100000	0.15	5	0.4	0	4735
100000	0.15	5	0.5	0	4735
100000	0.2	0.1	0.1	0	4735
100000	0.2	0.1	0.2	0	4735
100000	0.2	0.1	0.3	0	4735
100000	0.2	0.1	0.4	0	4735
100000	0.2	0.1	0.5	0	4735
100000	0.2	0.2	0.1	0	4735
100000	0.2	0.2	0.2	0	4735
100000	0.2	0.2	0.3	0	4735
100000	0.2	0.2	0.4	0	4735
100000	0.2	0.2	0.5	0	4735
100000	0.2	0.3	0.1	0	4735
100000	0.2	0.3	0.2	0	4735
100000	0.2	0.3	0.3	0	4735
100000	0.2	0.3	0.4	0	4735
100000	0.2	0.3	0.5	0	4735
100000	0.2	0.4	0.1	0	4735
100000	0.2	0.4	0.2	0	4735
100000	0.2	0.4	0.3	0	4735
100000	0.2	0.4	0.4	0	4735
100000	0.2	0.4	0.5	0	4735
100000	0.2	0.5	0.1	0	4735
100000	0.2	0.5	0.2	0	4735
100000	0.2	0.5	0.3	0	4735
100000	0.2	0.5	0.4	0	4735
100000	0.2	0.5	0.5	0	4735
100000	0.2	1	0.1	0	4735
100000	0.2	1	0.2	0	4735
100000	0.2	1	0.3	0	4735
100000	0.2	1	0.4	0	4735
100000	0.2	1	0.5	0	4735
100000	0.2	2	0.1	0	4735
100000	0.2	2	0.2	0	4735
100000	0.2	2	0.3	0	4735
100000	0.2	2	0.4	0	4735
100000	0.2	2	0.5	0	4735
100000	0.2	3	0.1	0	4735
100000	0.2	3	0.2	0	4735
100000	0.2	3	0.3	0	4735
100000	0.2	3	0.4	0	4735
100000	0.2	3	0.5	0	4735
100000	0.2	4	0.1	0	4735
100000	0.2	4	0.2	0	4735
100000	0.2	4	0.3	0	4735
100000	0.2	4	0.4	0	4735
100000	0.2	4	0.5	0	4735
100000	0.2	5	0.1	0	4735
100000	0.2	5	0.2	0	4735
100000	0.2	5	0.3	0	4735
100000	0.2	5	0.4	0	4735
100000	0.2	5	0.5	0	4735
100000	0.25	0.1	0.1	0	4735
100000	0.25	0.1	0.2	0	4735
100000	0.25	0.1	0.3	0	4735
100000	0.25	0.1	0.4	0	4735
100000	0.25	0.1	0.5	0	4735
100000	0.25	0.2	0.1	0	4735
100000	0.25	0.2	0.2	0	4735
100000	0.25	0.2	0.3	0	4735
100000	0.25	0.2	0.4	0	4735
100000	0.25	0.2	0.5	0	4735
100000	0.25	0.3	0.1	0	4735
100000	0.25	0.3	0.2	0	4735
100000	0.25	0.3	0.3	0	4735
100000	0.25	0.3	0.4	0	4735
100000	0.25	0.3	0.5	0	4735
100000	0.25	0.4	0.1	0	4735
100000	0.25	0.4	0.2	0	4735
100000	0.25	0.4	0.3	0	4735
100000	0.25	0.4	0.4	0	4735
100000	0.25	0.4	0.5	0	4735
100000	0.25	0.5	0.1	0	4735
100000	0.25	0.5	0.2	0	4735
100000	0.25	0.5	0.3	0	4735
100000	0.25	0.5	0.4	0	4735
100000	0.25	0.5	0.5	0	4735
100000	0.25	1	0.1	0	4735
100000	0.25	1	0.2	0	4735
100000	0.25	1	0.3	0	4735
100000	0.25	1	0.4	0	4735
100000	0.25	1	0.5	0	4735
100000	0.25	2	0.1	0	4735
100000	0.25	2	0.2	0	4735
100000	0.25	2	0.3	0	4735
100000	0.25	2	0.4	0	4735
100000	0.25	2	0.5	0	4735
100000	0.25	3	0.1	0	4735
100000	0.25	3	0.2	0	4735
100000	0.25	3	0.3	0	4735
100000	0.25	3	0.4	0	4735
100000	0.25	3	0.5	0	4735
100000	0.25	4	0.1	0	4735
100000	0.25	4	0.2	0	4735
100000	0.25	4	0.3	0	4735
100000	0.25	4	0.4	0	4735
100000	0.25	4	0.5	0	4735
100000	0.25	5	0.1	0	4735
100000	0.25	5	0.2	0	4735
100000	0.25	5	0.3	0	4735
100000	0.25	5	0.4	0	4735
100000	0.25	5	0.5	0	4735
100000	0.3	0.1	0.1	0	4735
100000	0.3	0.1	0.2	0	4735
100000	0.3	0.1	0.3	0	4735
100000	0.3	0.1	0.4	0	4735
100000	0.3	0.1	0.5	0	4735
100000	0.3	0.2	0.1	0	4735
100000	0.3	0.2	0.2	0	4735
100000	0.3	0.2	0.3	0	4735
100000	0.3	0.2	0.4	0	4735
100000	0.3	0.2	0.5	0	4735
100000	0.3	0.3	0.1	0	4735
100000	0.3	0.3	0.2	0	4735
100000	0.3	0.3	0.3	0	4735
100000	0.3	0.3	0.4	0	4735
100000	0.3	0.3	0.5	0	4735
100000	0.3	0.4	0.1	0	4735
100000	0.3	0.4	0.2	0	4735
100000	0.3	0.4	0.3	0	4735
100000	0.3	0.4	0.4	0	4735
100000	0.3	0.4	0.5	0	4735
100000	0.3	0.5	0.1	0	4735
100000	0.3	0.5	0.2	0	4735
100000	0.3	0.5	0.3	0	4735
100000	0.3	0.5	0.4	0	4735
100000	0.3	0.5	0.5	0	4735
100000	0.3	1	0.1	0	4735
100000	0.3	1	0.2	0	4735
100000	0.3	1	0.3	0	4735
100000	0.3	1	0.4	0	4735
100000	0.3	1	0.5	0	4735
100000	0.3	2	0.1	0	4735
100000	0.3	2	0.2	0	4735
100000	0.3	2	0.3	0	4735
100000	0.3	2	0.4	0	4735
100000	0.3	2	0.5	0	4735
100000	0.3	3	0.1	0	4735
100000	0.3	3	0.2	0	4735
100000	0.3	3	0.3	0	4735
100000	0.3	3	0.4	0	4735
100000	0.3	3	0.5	0	4735
100000	0.3	4	0.1	0	4735
100000	0.3	4	0.2	0	4735
100000	0.3	4	0.3	0	4735
100000	0.3	4	0.4	0	4735
100000	0.3	4	0.5	0	4735
100000	0.3	5	0.1	0	4735
100000	0.3	5	0.2	0	4735
100000	0.3	5	0.3	0	4735
100000	0.3	5	0.4	0	4735
100000	0.3	5	0.5	0	4735
100000	0.35	0.1	0.1	0	4735
100000	0.35	0.1	0.2	0	4735
100000	0.35	0.1	0.3	0	4735
100000	0.35	0.1	0.4	0	4735
100000	0.35	0.1	0.5	0	4735
100000	0.35	0.2	0.1	0	4735
100000	0.35	0.2	0.2	0	4735
100000	0.35	0.2	0.3	0	4735
100000	0.35	0.2	0.4	0	4735
100000	0.35	0.2	0.5	0	4735
100000	0.35	0.3	0.1	0	4735
100000	0.35	0.3	0.2	0	4735
100000	0.35	0.3	0.3	0	4735
100000	0.35	0.3	0.4	0	4735
100000	0.35	0.3	0.5	0	4735
100000	0.35	0.4	0.1	0	4735
100000	0.35	0.4	0.2	0	4735
100000	0.35	0.4	0.3	0	4735
100000	0.35	0.4	0.4	0	4735
100000	0.35	0.4	0.5	0	4735
100000	0.35	0.5	0.1	0	4735
100000	0.35	0.5	0.2	0	4735
100000	0.35	0.5	0.3	0	4735
100000	0.35	0.5	0.4	0	4735
100000	0.35	0.5	0.5	0	4735
100000	0.35	1	0.1	0	4735
100000	0.35	1	0.2	0	4735
100000	0.35	1	0.3	0	4735
100000	0.35	1	0.4	0	4735
100000	0.35	1	0.5	0	4735
100000	0.35	2	0.1	0	4735
100000	0.35	2	0.2	0	4735
100000	0.35	2	0.3	0	4735
100000	0.35	2	0.4	0	4735
100000	0.35	2	0.5	0	4735
100000	0.35	3	0.1	0	4735
100000	0.35	3	0.2	0	4735
100000	0.35	3	0.3	0	4735
100000	0.35	3	0.4	0	4735
100000	0.35	3	0.5	0	4735
100000	0.35	4	0.1	0	4735
100000	0.35	4	0.2	0	4735
100000	0.35	4	0.3	0	4735
100000	0.35	4	0.4	0	4735
100000	0.35	4	0.5	0	4735
100000	0.35	5	0.1	0	4735
100000	0.35	5	0.2	0	4735
100000	0.35	5	0.3	0	4735
100000	0.35	5	0.4	0	4735
100000	0.35	5	0.5	0	4735
100000	0.4	0.1	0.1	0	4735
100000	0.4	0.1	0.2	0	4735
100000	0.4	0.1	0.3	0	4735
100000	0.4	0.1	0.4	0	4735
100000	0.4	0.1	0.5	0	4735
100000	0.4	0.2	0.1	0	4735
100000	0.4	0.2	0.2	0	4735
100000	0.4	0.2	0.3	0	4735
100000	0.4	0.2	0.4	0	4735
100000	0.4	0.2	0.5	0	4735
100000	0.4	0.3	0.1	0	4735
100000	0.4	0.3	0.2	0	4735
100000	0.4	0.3	0.3	0	4735
100000	0.4	0.3	0.4	0	4735
100000	0.4	0.3	0.5	0	4735
100000	0.4	0.4	0.1	0	4735
100000	0.4	0.4	0.2	0	4735
100000	0.4	0.4	0.3	0	4735
100000	0.4	0.4	0.4	0	4735
100000	0.4	0.4	0.5	0	4735
100000	0.4	0.5	0.1	0	4735
100000	0.4	0.5	0.2	0	4735
100000	0.4	0.5	0.3	0	4735
100000	0.4	0.5	0.4	0	4735
100000	0.4	0.5	0.5	0	4735
100000	0.4	1	0.1	0	4735
100000	0.4	1	0.2	0	4735
100000	0.4	1	0.3	0	4735
100000	0.4	1	0.4	0	4735
100000	0.4	1	0.5	0	4735
100000	0.4	2	0.1	0	4735
100000	0.4	2	0.2	0	4735
100000	0.4	2	0.3	0	4735
100000	0.4	2	0.4	0	4735
100000	0.4	2	0.5	0	4735
100000	0.4	3	0.1	0	4735
100000	0.4	3	0.2	0	4735
100000	0.4	3	0.3	0	4735
100000	0.4	3	0.4	0	4735
100000	0.4	3	0.5	0	4735
100000	0.4	4	0.1	0	4735
100000	0.4	4	0.2	0	4735
100000	0.4	4	0.3	0	4735
100000	0.4	4	0.4	0	4735
100000	0.4	4	0.5	0	4735
100000	0.4	5	0.1	0	4735
100000	0.4	5	0.2	0	4735
100000	0.4	5	0.3	0	4735
100000	0.4	5	0.4	0	4735
100000	0.4	5	0.5	0	4735
100000	0.45	0.1	0.1	0	4735
100000	0.45	0.1	0.2	0	4735
100000	0.45	0.1	0.3	0	4735
100000	0.45	0.1	0.4	0	4735
100000	0.45	0.1	0.5	0	4735
100000	0.45	0.2	0.1	0	4735
100000	0.45	0.2	0.2	0	4735
100000	0.45	0.2	0.3	0	4735
100000	0.45	0.2	0.4	0	4735
100000	0.45	0.2	0.5	0	4735
100000	0.45	0.3	0.1	0	4735
100000	0.45	0.3	0.2	0	4735
100000	0.45	0.3	0.3	0	4735
100000	0.45	0.3	0.4	0	4735
100000	0.45	0.3	0.5	0	4735
100000	0.45	0.4	0.1	0	4735
100000	0.45	0.4	0.2	0	4735
100000	0.45	0.4	0.3	0	4735
100000	0.45	0.4	0.4	0	4735
100000	0.45	0.4	0.5	0	4735
100000	0.45	0.5	0.1	0	4735
100000	0.45	0.5	0.2	0	4735
100000	0.45	0.5	0.3	0	4735
100000	0.45	0.5	0.4	0	4735
100000	0.45	0.5	0.5	0	4735
100000	0.45	1	0.1	0	4735
100000	0.45	1	0.2	0	4735
100000	0.45	1	0.3	0	4735
100000	0.45	1	0.4	0	4735
100000	0.45	1	0.5	0	4735
100000	0.45	2	0.1	0	4735
100000	0.45	2	0.2	0	4735
100000	0.45	2	0.3	0	4735
100000	0.45	2	0.4	0	4735
100000	0.45	2	0.5	0	4735
100000	0.45	3	0.1	0	4735
100000	0.45	3	0.2	0	4735
100000	0.45	3	0.3	0	4735
100000	0.45	3	0.4	0	4735
100000	0.45	3	0.5	0	4735
100000	0.45	4	0.1	0	4735
100000	0.45	4	0.2	0	4735
100000	0.45	4	0.3	0	4735
100000	0.45	4	0.4	0	4735
100000	0.45	4	0.5	0	4735
100000	0.45	5	0.1	0	4735
100000	0.45	5	0.2	0	4735
100000	0.45	5	0.3	0	4735
100000	0.45	5	0.4	0	4735
100000	0.45	5	0.5	0	4735
100000	0.5	0.1	0.1	0	4735
100000	0.5	0.1	0.2	0	4735
100000	0.5	0.1	0.3	0	4735
100000	0.5	0.1	0.4	0	4735
100000	0.5	0.1	0.5	0	4735
100000	0.5	0.2	0.1	0	4735
100000	0.5	0.2	0.2	0	4735
100000	0.5	0.2	0.3	0	4735
100000	0.5	0.2	0.4	0	4735
100000	0.5	0.2	0.5	0	4735
100000	0.5	0.3	0.1	0	4735
100000	0.5	0.3	0.2	0	4735
100000	0.5	0.3	0.3	0	4735
100000	0.5	0.3	0.4	0	4735
100000	0.5	0.3	0.5	0	4735
100000	0.5	0.4	0.1	0	4735
100000	0.5	0.4	0.2	0	4735
100000	0.5	0.4	0.3	0	4735
100000	0.5	0.4	0.4	0	4735
100000	0.5	0.4	0.5	0	4735
100000	0.5	0.5	0.1	0	4735
100000	0.5	0.5	0.2	0	4735
100000	0.5	0.5	0.3	0	4735
100000	0.5	0.5	0.4	0	4735
100000	0.5	0.5	0.5	0	4735
100000	0.5	1	0.1	0	4735
100000	0.5	1	0.2	0	4735
100000	0.5	1	0.3	0	4735
100000	0.5	1	0.4	0	4735
100000	0.5	1	0.5	0	4735
100000	0.5	2	0.1	0	4735
100000	0.5	2	0.2	0	4735
100000	0.5	2	0.3	0	4735
100000	0.5	2	0.4	0	4735
100000	0.5	2	0.5	0	4735
100000	0.5	3	0.1	0	4735
100000	0.5	3	0.2	0	4735
100000	0.5	3	0.3	0	4735
100000	0.5	3	0.4	0	4735
100000	0.5	3	0.5	0	4735
100000	0.5	4	0.1	0	4735
100000	0.5	4	0.2	0	4735
100000	0.5	4	0.3	0	4735
100000	0.5	4	0.4	0	4735
100000	0.5	4	0.5	0	4735
100000	0.5	5	0.1	0	4735
100000	0.5	5	0.2	0	4735
100000	0.5	5	0.3	0	4735
100000	0.5	5	0.4	0	4735
100000	0.5	5	0.5	0	4735
100000	0.55	0.1	0.1	0	4735
100000	0.55	0.1	0.2	0	4735
100000	0.55	0.1	0.3	0	4735
100000	0.55	0.1	0.4	0	4735
100000	0.55	0.1	0.5	0	4735
100000	0.55	0.2	0.1	0	4735
100000	0.55	0.2	0.2	0	4735
100000	0.55	0.2	0.3	0	4735
100000	0.55	0.2	0.4	0	4735
100000	0.55	0.2	0.5	0	4735
100000	0.55	0.3	0.1	0	4735
100000	0.55	0.3	0.2	0	4735
100000	0.55	0.3	0.3	0	4735
100000	0.55	0.3	0.4	0	4735
100000	0.55	0.3	0.5	0	4735
100000	0.55	0.4	0.1	0	4735
100000	0.55	0.4	0.2	0	4735
100000	0.55	0.4	0.3	0	4735
100000	0.55	0.4	0.4	0	4735
100000	0.55	0.4	0.5	0	4735
100000	0.55	0.5	0.1	0	4735
100000	0.55	0.5	0.2	0	4735
100000	0.55	0.5	0.3	0	4735
100000	0.55	0.5	0.4	0	4735
100000	0.55	0.5	0.5	0	4735
100000	0.55	1	0.1	0	4735
100000	0.55	1	0.2	0	4735
100000	0.55	1	0.3	0	4735
100000	0.55	1	0.4	0	4735
100000	0.55	1	0.5	0	4735
100000	0.55	2	0.1	0	4735
100000	0.55	2	0.2	0	4735
100000	0.55	2	0.3	0	4735
100000	0.55	2	0.4	0	4735
100000	0.55	2	0.5	0	4735
100000	0.55	3	0.1	0	4735
100000	0.55	3	0.2	0	4735
100000	0.55	3	0.3	0	4735
100000	0.55	3	0.4	0	4735
100000	0.55	3	0.5	0	4735
100000	0.55	4	0.1	0	4735
100000	0.55	4	0.2	0	4735
100000	0.55	4	0.3	0	4735
100000	0.55	4	0.4	0	4735
100000	0.55	4	0.5	0	4735
100000	0.55	5	0.1	0	4735
100000	0.55	5	0.2	0	4735
100000	0.55	5	0.3	0	4735
100000	0.55	5	0.4	0	4735
100000	0.55	5	0.5	0	4735
100000	0.6	0.1	0.1	0	4735
100000	0.6	0.1	0.2	0	4735
100000	0.6	0.1	0.3	0	4735
100000	0.6	0.1	0.4	0	4735
100000	0.6	0.1	0.5	0	4735
100000	0.6	0.2	0.1	0	4735
100000	0.6	0.2	0.2	0	4735
100000	0.6	0.2	0.3	0	4735
100000	0.6	0.2	0.4	0	4735
100000	0.6	0.2	0.5	0	4735
100000	0.6	0.3	0.1	0	4735
100000	0.6	0.3	0.2	0	4735
100000	0.6	0.3	0.3	0	4735
100000	0.6	0.3	0.4	0	4735
100000	0.6	0.3	0.5	0	4735
100000	0.6	0.4	0.1	0	4735
100000	0.6	0.4	0.2	0	4735
100000	0.6	0.4	0.3	0	4735
100000	0.6	0.4	0.4	0	4735
100000	0.6	0.4	0.5	0	4735
100000	0.6	0.5	0.1	0	4735
100000	0.6	0.5	0.2	0	4735
100000	0.6	0.5	0.3	0	4735
100000	0.6	0.5	0.4	0	4735
100000	0.6	0.5	0.5	0	4735
100000	0.6	1	0.1	0	4735
100000	0.6	1	0.2	0	4735
100000	0.6	1	0.3	0	4735
100000	0.6	1	0.4	0	4735
100000	0.6	1	0.5	0	4735
100000	0.6	2	0.1	0	4735
100000	0.6	2	0.2	0	4735
100000	0.6	2	0.3	0	4735
100000	0.6	2	0.4	0	4735
100000	0.6	2	0.5	0	4735
100000	0.6	3	0.1	0	4735
100000	0.6	3	0.2	0	4735
100000	0.6	3	0.3	0	4735
100000	0.6	3	0.4	0	4735
100000	0.6	3	0.5	0	4735
100000	0.6	4	0.1	0	4735
100000	0.6	4	0.2	0	4735
100000	0.6	4	0.3	0	4735
100000	0.6	4	0.4	0	4735
100000	0.6	4	0.5	0	4735
100000	0.6	5	0.1	0	4735
100000	0.6	5	0.2	0	4735
100000	0.6	5	0.3	0	4735
100000	0.6	5	0.4	0	4735
100000	0.6	5	0.5	0	4735
100000	0.65	0.1	0.1	0	4735
100000	0.65	0.1	0.2	0	4735
100000	0.65	0.1	0.3	0	4735
100000	0.65	0.1	0.4	0	4735
100000	0.65	0.1	0.5	0	4735
100000	0.65	0.2	0.1	0	4735
100000	0.65	0.2	0.2	0	4735
100000	0.65	0.2	0.3	0	4735
100000	0.65	0.2	0.4	0	4735
100000	0.65	0.2	0.5	0	4735
100000	0.65	0.3	0.1	0	4735
100000	0.65	0.3	0.2	0	4735
100000	0.65	0.3	0.3	0	4735
100000	0.65	0.3	0.4	0	4735
100000	0.65	0.3	0.5	0	4735
100000	0.65	0.4	0.1	0	4735
100000	0.65	0.4	0.2	0	4735
100000	0.65	0.4	0.3	0	4735
100000	0.65	0.4	0.4	0	4735
100000	0.65	0.4	0.5	0	4735
100000	0.65	0.5	0.1	0	4735
100000	0.65	0.5	0.2	0	4735
100000	0.65	0.5	0.3	0	4735
100000	0.65	0.5	0.4	0	4735
100000	0.65	0.5	0.5	0	4735
100000	0.65	1	0.1	0	4735
100000	0.65	1	0.2	0	4735
100000	0.65	1	0.3	0	4735
100000	0.65	1	0.4	0	4735
100000	0.65	1	0.5	0	4735
100000	0.65	2	0.1	0	4735
100000	0.65	2	0.2	0	4735
100000	0.65	2	0.3	0	4735
100000	0.65	2	0.4	0	4735
100000	0.65	2	0.5	0	4735
100000	0.65	3	0.1	0	4735
100000	0.65	3	0.2	0	4735
100000	0.65	3	0.3	0	4735
100000	0.65	3	0.4	0	4735
100000	0.65	3	0.5	0	4735
100000	0.65	4	0.1	0	4735
100000	0.65	4	0.2	0	4735
100000	0.65	4	0.3	0	4735
100000	0.65	4	0.4	0	4735
100000	0.65	4	0.5	0	4735
100000	0.65	5	0.1	0	4735
100000	0.65	5	0.2	0	4735
100000	0.65	5	0.3	0	4735
100000	0.65	5	0.4	0	4735
100000	0.65	5	0.5	0	4735
100000	0.7	0.1	0.1	0	4735
100000	0.7	0.1	0.2	0	4735
100000	0.7	0.1	0.3	0	4735
100000	0.7	0.1	0.4	0	4735
100000	0.7	0.1	0.5	0	4735
100000	0.7	0.2	0.1	0	4735
100000	0.7	0.2	0.2	0	4735
100000	0.7	0.2	0.3	0	4735
100000	0.7	0.2	0.4	0	4735
100000	0.7	0.2	0.5	0	4735
100000	0.7	0.3	0.1	0	4735
100000	0.7	0.3	0.2	0	4735
100000	0.7	0.3	0.3	0	4735
100000	0.7	0.3	0.4	0	4735
100000	0.7	0.3	0.5	0	4735
100000	0.7	0.4	0.1	0	4735
100000	0.7	0.4	0.2	0	4735
100000	0.7	0.4	0.3	0	4735
100000	0.7	0.4	0.4	0	4735
100000	0.7	0.4	0.5	0	4735
100000	0.7	0.5	0.1	0	4735
100000	0.7	0.5	0.2	0	4735
100000	0.7	0.5	0.3	0	4735
100000	0.7	0.5	0.4	0	4735
100000	0.7	0.5	0.5	0	4735
100000	0.7	1	0.1	0	4735
100000	0.7	1	0.2	0	4735
100000	0.7	1	0.3	0	4735
100000	0.7	1	0.4	0	4735
100000	0.7	1	0.5	0	4735
100000	0.7	2	0.1	0	4735
100000	0.7	2	0.2	0	4735
100000	0.7	2	0.3	0	4735
100000	0.7	2	0.4	0	4735
100000	0.7	2	0.5	0	4735
100000	0.7	3	0.1	0	4735
100000	0.7	3	0.2	0	4735
100000	0.7	3	0.3	0	4735
100000	0.7	3	0.4	0	4735
100000	0.7	3	0.5	0	4735
100000	0.7	4	0.1	0	4735
100000	0.7	4	0.2	0	4735
100000	0.7	4	0.3	0	4735
100000	0.7	4	0.4	0	4735
100000	0.7	4	0.5	0	4735
100000	0.7	5	0.1	0	4735
100000	0.7	5	0.2	0	4735
100000	0.7	5	0.3	0	4735
100000	0.7	5	0.4	0	4735
100000	0.7	5	0.5	0	4735
100000	0.75	0.1	0.1	0	4735
100000	0.75	0.1	0.2	0	4735
100000	0.75	0.1	0.3	0	4735
100000	0.75	0.1	0.4	0	4735
100000	0.75	0.1	0.5	0	4735
100000	0.75	0.2	0.1	0	4735
100000	0.75	0.2	0.2	0	4735
100000	0.75	0.2	0.3	0	4735
100000	0.75	0.2	0.4	0	4735
100000	0.75	0.2	0.5	0	4735
100000	0.75	0.3	0.1	0	4735
100000	0.75	0.3	0.2	0	4735
100000	0.75	0.3	0.3	0	4735
100000	0.75	0.3	0.4	0	4735
100000	0.75	0.3	0.5	0	4735
100000	0.75	0.4	0.1	0	4735
100000	0.75	0.4	0.2	0	4735
100000	0.75	0.4	0.3	0	4735
100000	0.75	0.4	0.4	0	4735
100000	0.75	0.4	0.5	0	4735
100000	0.75	0.5	0.1	0	4735
100000	0.75	0.5	0.2	0	4735
100000	0.75	0.5	0.3	0	4735
100000	0.75	0.5	0.4	0	4735
100000	0.75	0.5	0.5	0	4735
100000	0.75	1	0.1	0	4735
100000	0.75	1	0.2	0	4735
100000	0.75	1	0.3	0	4735
100000	0.75	1	0.4	0	4735
100000	0.75	1	0.5	0	4735
